12:2.170;ID:1;1;n; 1224; 394; 23514644; 103663; 23221087; 397936; 0
14:44.100;ID:14;14;99; 350; 59; 196642; 33182; 28731422; 202666; 3
14:44.236;ID:3;3;100; 1246; 661; 284893; 107666; 28434660; 499436; 1
14:44.284;ID:5;5;99; 1247; 484; 255331; 106170; 28473779; 460317; 2
14:44.287;ID:15;15;99; 288; 38; 194426; 28575; 28743782; 190306; 3
14:44.340;ID:13;13;100; 370; 53; 197746; 35348; 28728447; 205641; 3
14:44.370;ID:6;6;100; 1637; 613; 267692; 138356; 28398212; 535884; 2
14:44.432;ID:10;10;99; 305; 36; 191975; 29535; 28741575; 192513; 3
14:44.458;ID:4;4;97; 1249; 401; 258913; 107001; 28441172; 492924; 2
14:44.534;ID:2;2;99; 1319; 607; 268305; 111989; 28416337; 517759; 1
14:44.626;ID:11;11;99; 317; 37; 193372; 31520; 28739861; 194227; 3
14:44.686;ID:8;8;97; 291; 39; 191557; 28997; 28741756; 192340; 3
14:44.849;ID:7;7;99; 1572; 525; 264679; 133022; 28408827; 525269; 2
14:44.860;ID:12;12;100; 297; 56; 199792; 30173; 28737485; 196603; 3
14:44.869;ID:9;9;97; 441; 74; 196246; 41980; 28714442; 219654; 3
