12:1.194;ID:9;9;n; 963; 107; 23516828; 101649; 22418997; 1193213
13:3.337;ID:50;50;88; 2159; 299; 961520; 140593; 24731599; 984102
13:3.350;ID:25;25;n; 94; 18; 702116; 8731; 25192012; 463920
13:3.352;ID:5;5;n; 861; 162; 848340; 58416; 24958023; 697371
13:3.385;ID:26;26;n; 170; 67; 952032; 14955; 24941221; 710369
13:3.410;ID:8;8;n; 111; 29; 879661; 10196; 25139873; 510546
13:3.420;ID:43;43;80; 1904; 207; 809304; 123146; 24795874; 856334
13:3.453;ID:10;10;n; 94; 20; 819359; 8694; 25182950; 468483
13:3.492;ID:45;45;19; 113; 29; 682164; 10237; 25292858; 362290
13:3.505;ID:3;3;n; 104; 25; 916066; 9815; 24858387; 795269
13:3.549;ID:33;33;66; 100; 28; 1004278; 9188; 24759909; 895237
13:3.555;ID:18;18;n; 2128; 2099; 1072782; 145879; 24358481; 1294983
13:3.570;ID:24;24;n; 72; 17; 1011564; 6939; 24942285; 709025
13:3.597;ID:12;12;n; 144; 51; 965811; 12859; 24994853; 660825
13:3.660;ID:39;39;93; 2156; 229; 837256; 138026; 24896306; 754862
13:3.661;ID:4;4;n; 1369; 276; 868516; 89734; 24875759; 779689
13:3.686;ID:34;34;75; 143; 43; 812823; 13127; 25075325; 580687
13:3.760;ID:13;13;n; 119; 33; 870379; 10896; 24813937; 841756
13:3.771;ID:32;32;70; 98; 24; 872868; 9038; 24868005; 785805
13:3.797;ID:49;49;99; 2319; 455; 1015727; 148774; 24444924; 1207972
13:3.802;ID:51;51;44; 1127; 153; 782208; 74552; 24959659; 696282
13:3.848;ID:35;35;99; 2320; 289; 927735; 148927; 24728726; 926885
13:3.891;ID:40;40;88; 138; 33; 886677; 12428; 25138095; 512246
13:3.900;ID:28;28;100; 81; 26; 914061; 7649; 25075643; 579285
13:3.942;ID:17;17;n; 1646; 280; 922735; 108069; 24712921; 940803
13:3.963;ID:14;14;n; 2384; 500; 1035776; 154987; 24637319; 1017902
13:3.972;ID:2;2;n; 1557; 290; 891122; 100839; 24896273; 759064
13:3.976;ID:23;23;n; 1374; 192; 822614; 91417; 24995441; 655454
13:3.993;ID:37;37;95; 113; 33; 771861; 10357; 24994357; 659792
13:3.993;ID:30;30;13; 149; 41; 843835; 13266; 25013774; 638409
13:4.015;ID:27;27;96; 2510; 396; 1001412; 165553; 24657484; 997460
13:4.031;ID:22;22;n; 129; 29; 773082; 11888; 25102173; 553955
13:4.061;ID:6;6;n; 2475; 518; 1021323; 161135; 24498497; 1153400
13:4.069;ID:15;15;n; 106; 23; 679213; 9977; 25154638; 501872
13:4.073;ID:7;7;n; 674; 131; 930096; 46874; 24893193; 758428
13:4.119;ID:38;38;87; 95; 24; 858220; 8909; 25157431; 493765
13:4.121;ID:21;21;n; 96; 18; 957199; 8876; 25010454; 644760
13:4.121;ID:31;31;44; 1275; 333; 901453; 86638; 24743594; 910483
13:4.126;ID:42;42;66; 1875; 389; 918496; 126230; 24726531; 928832
13:4.161;ID:46;46;87; 2067; 357; 1000970; 133236; 24716172; 938817
13:4.167;ID:47;47;100; 2340; 326; 815945; 150104; 24743892; 911696
13:4.204;ID:1;1;n; 163; 59; 765409; 14267; 24989021; 665346
13:4.215;ID:29;29;99; 86; 32; 1045779; 8174; 24875190; 778027
13:4.230;ID:36;36;98; 95; 25; 1017843; 8791; 25000283; 654873
13:4.251;ID:48;48;39; 1132; 215; 1015283; 77450; 24877704; 776953
13:4.258;ID:44;44;99; 2614; 495; 1045974; 172463; 24470363; 1182998
13:4.259;ID:41;41;98; 2362; 1912; 880069; 153245; 24412741; 1239757
13:4.261;ID:20;20;n; 2509; 686; 1040174; 163925; 24410467; 1242942
13:4.284;ID:16;16;n; 737; 148; 887709; 50131; 24910679; 741274
13:4.291;ID:19;19;n; 590; 92; 813005; 41656; 24919167; 735086
13:4.313;ID:11;11;n; 85; 18; 1049194; 8101; 24989226; 666097
